label_number,cost,epsilon,gamma,pearson,spearman
B.cells,768,0.05,0.001,0.991765879115802,0.8540487521594045
B.cells,256,5e-5,0.001,0.9954165424074993,0.8763945299232938
B.cells,384,5e-5,0.001,0.9954165424074993,0.8763945299232938
B.cells,512,5e-5,0.001,0.9954165424074993,0.8763945299232938
B.cells,768,5e-5,0.001,0.9954165424074993,0.8763945299232938
B.cells,256,5e-4,0.001,0.9959944638355458,0.877555784762676
B.cells,384,5e-4,0.001,0.9959944638355458,0.877555784762676
B.cells,512,5e-4,0.001,0.9959944638355458,0.877555784762676
B.cells,768,5e-4,0.001,0.9959944638355458,0.877555784762676
B.cells,256,5e-6,0.001,0.9953163933942365,0.8762048148461384
B.cells,384,5e-6,0.001,0.9953163933942365,0.8762048148461384
B.cells,512,5e-6,0.001,0.9953163933942365,0.8762048148461384
B.cells,768,5e-6,0.001,0.9953163933942365,0.8762048148461384
CD4.T.cells,256,0.005,1e-8,0.8620263070629798,0.72483172171843
CD4.T.cells,384,0.005,1e-8,0.8860472716668412,0.74508102553345
CD4.T.cells,512,0.005,1e-8,0.9062398841748346,0.763085932724379
CD4.T.cells,768,0.005,1e-8,0.9380377878075735,0.7961785611924824
CD4.T.cells,256,0.05,1e-8,0.8823945376100921,0.7382658659638863
CD4.T.cells,384,0.05,1e-8,0.8971485445563472,0.7515255435760265
CD4.T.cells,512,0.05,1e-8,0.9114547100873183,0.765115608368816
CD4.T.cells,768,0.05,1e-8,0.9304045549092026,0.7847976154328931
CD4.T.cells,256,5e-5,1e-8,0.8637428870954416,0.7266629675853606
CD4.T.cells,384,5e-5,1e-8,0.8862941492940607,0.7459510971449406
CD4.T.cells,512,5e-5,1e-8,0.9076749269145902,0.7647367745419775
CD4.T.cells,768,5e-5,1e-8,0.9379373008057306,0.7963395719065801
CD4.T.cells,256,5e-4,1e-8,0.8630528929650216,0.726144117480607
CD4.T.cells,384,5e-4,1e-8,0.8860453333260773,0.7457096577932145
CD4.T.cells,512,5e-4,1e-8,0.9070679900456757,0.7641571493137339
CD4.T.cells,768,5e-4,1e-8,0.937885404251301,0.7962690500810684
CD4.T.cells,256,5e-6,1e-8,0.8630238357988012,0.7260636554867089
CD4.T.cells,384,5e-6,1e-8,0.8865120993529887,0.7461547838705601
CD4.T.cells,512,5e-6,1e-8,0.9072689435417771,0.764366179713768
CD4.T.cells,768,5e-6,1e-8,0.9376459099463856,0.795975147988275
CD4.T.cells,256,0.005,1e-7,0.9857100682940156,0.8663609799882361
CD4.T.cells,384,0.005,1e-7,0.9882781110763813,0.8714249620807843
CD4.T.cells,512,0.005,1e-7,0.989536236675234,0.8736704327767614
CD4.T.cells,768,0.005,1e-7,0.9907500413849462,0.8758289103212225
CD4.T.cells,256,0.05,1e-7,0.9689260031901822,0.8359116824592152
CD4.T.cells,384,0.05,1e-7,0.9749212188669407,0.8460761050471516
CD4.T.cells,512,0.05,1e-7,0.9776211958642534,0.8507527341215665
CD4.T.cells,768,0.05,1e-7,0.9817047549516116,0.857722126411214
CD4.T.cells,256,5e-5,1e-7,0.9865502662862582,0.867855681107121
CD4.T.cells,384,5e-5,1e-7,0.98862552478523,0.8720684178668271
CD4.T.cells,512,5e-5,1e-7,0.989781244569599,0.8740930300295157
CD4.T.cells,768,5e-5,1e-7,0.9911238082844562,0.8761826935894764
CD4.T.cells,256,5e-4,1e-7,0.9864265928860889,0.8676983796102198
CD4.T.cells,384,5e-4,1e-7,0.9885766391548211,0.8718985143712135
CD4.T.cells,512,5e-4,1e-7,0.9898393076126701,0.8741472739953879
CD4.T.cells,768,5e-4,1e-7,0.9911555007179612,0.876187903838812
CD4.T.cells,256,5e-6,1e-7,0.9864643990701178,0.8676608671492557
CD4.T.cells,384,5e-6,1e-7,0.9885955710375859,0.8719287084665938
CD4.T.cells,512,5e-6,1e-7,0.9898139025818377,0.874184813141368
CD4.T.cells,768,5e-6,1e-7,0.991157449503771,0.8762538691978754
CD4.T.cells,256,0.005,1e-6,0.9927545520822915,0.876875076351993
CD4.T.cells,384,0.005,1e-6,0.9928803644579711,0.8761164813940169
CD4.T.cells,512,0.005,1e-6,0.9929082349483088,0.8756699810383575
CD4.T.cells,768,0.005,1e-6,0.9925451598086155,0.8739601052945501
CD4.T.cells,256,0.05,1e-6,0.9864532384691418,0.8652921717215573
CD4.T.cells,384,0.05,1e-6,0.9861195583817574,0.8649955811134217
CD4.T.cells,512,0.05,1e-6,0.9868792753179066,0.8664204075184281
CD4.T.cells,768,0.05,1e-6,0.987319347196746,0.8669368626430134
CD4.T.cells,256,5e-5,1e-6,0.99196270611155,0.874509416344842
CD4.T.cells,384,5e-5,1e-6,0.9917312904616138,0.8734837310637
CD4.T.cells,512,5e-5,1e-6,0.9915121350113744,0.8726745279732545
CD4.T.cells,768,5e-5,1e-6,0.99099602618968,0.8718228556801597
CD4.T.cells,256,5e-4,1e-6,0.9919510734071312,0.8744312025635252
CD4.T.cells,384,5e-4,1e-6,0.9918918884146597,0.8737443702842957
CD4.T.cells,512,5e-4,1e-6,0.9916359542134309,0.8729715321991351
CD4.T.cells,768,5e-4,1e-6,0.9911311532625836,0.8719578284900882
CD4.T.cells,256,5e-6,1e-6,0.9919175309453654,0.874428413979374
CD4.T.cells,384,5e-6,1e-6,0.9917254201179632,0.8734593943292882
CD4.T.cells,512,5e-6,1e-6,0.9914963881010483,0.8727229079069042
CD4.T.cells,768,5e-6,1e-6,0.9909660896205001,0.8717210390023657
CD4.T.cells,256,0.005,1e-5,0.990864632693319,0.8702301938682643
CD4.T.cells,384,0.005,1e-5,0.9904201269653646,0.8693627373883223
CD4.T.cells,512,0.005,1e-5,0.9900770313376038,0.8687239848363146
CD4.T.cells,768,0.005,1e-5,0.9894566511267195,0.8674487546298965
CD4.T.cells,256,0.05,1e-5,0.9890644227875439,0.8700302764011267
CD4.T.cells,384,0.05,1e-5,0.9891907287016973,0.8702805218080676
CD4.T.cells,512,0.05,1e-5,0.9891907287016973,0.8702805218080676
CD4.T.cells,768,0.05,1e-5,0.9891907287016973,0.8702805218080676
CD4.T.cells,256,5e-5,1e-5,0.9883697435796281,0.8689851911134964
CD4.T.cells,384,5e-5,1e-5,0.9877314199974979,0.8686685133597155
CD4.T.cells,512,5e-5,1e-5,0.987535904842083,0.8682407992551809
