label_number,mtry,ntree,pearson,spearman
fibroblasts,8,500,0.9845586458159871,0.8064546616976106
fibroblasts,9,500,0.9854840177470557,0.8067753656932993
fibroblasts,10,500,0.98679145779177,0.8082944667948748
fibroblasts,50,500,0.9933919368344332,0.8273036635518977
fibroblasts,100,500,0.9946927588114566,0.8313658593286986
fibroblasts,150,500,0.9950704983074699,0.8343772196739562
fibroblasts,200,500,0.9949968673026607,0.8368768848262977
endothelial.cells,2,500,0.9638730366930782,0.7763442381015447
endothelial.cells,3,500,0.9726379990871415,0.7932406981906894
endothelial.cells,4,500,0.9756448111713122,0.8012494313011144
endothelial.cells,5,500,0.9778323082102022,0.8031618070369898
endothelial.cells,6,500,0.9806462570624296,0.813057698929118
endothelial.cells,7,500,0.9817018546712886,0.8141383068707554
